2212.625365,5.55E-20,0.054
2214.156039,5.62E-26,0.047
2215.704476,4.02E-20,0.053
2216.812816,3.35E-26,0.047
2218.745505,2.86E-20,0.053
2219.430056,1.96E-26,0.046
2221.748306,1.99E-20,0.052
2222.007612,1.12E-26,0.046
2224.545341,6.31E-27,0.045
2224.712734,1.35E-20,0.051
2227.043097,3.48E-27,0.045
2227.638643,9.02E-21,0.051
2229.500734,1.89E-27,0.044
2230.525888,5.90E-21,0.05
2231.918108,1.00E-27,0.044
2233.374323,3.79E-21,0.049
2234.295073,5.22E-28,0.043
2236.183803,2.38E-21,0.049
2236.631486,2.67E-28,0.043
2238.9272,1.34E-28,0.042
2238.954182,1.47E-21,0.048
2241.182072,6.63E-29,0.042
2241.685315,8.87E-22,0.047
2243.395957,3.21E-29,0.041
2244.377056,5.26E-22,0.047
2245.56871,1.52E-29,0.041
2247.029262,3.06E-22,0.046
2247.700187,7.11E-30,0.04
2249.641788,1.74E-22,0.046
2249.790242,3.26E-30,0.04
2251.838733,1.47E-30,0.04
2252.214487,9.75E-23,0.045
2253.845514,6.47E-31,0.039
2254.747216,5.35E-23,0.045
2255.810441,2.81E-31,0.039
2257.239829,2.88E-23,0.044
2257.73337,1.20E-31,0.038
2259.692183,1.52E-23,0.044
2262.104132,7.88E-24,0.043
2264.475532,4.01E-24,0.043
2266.806239,2.00E-24,0.042
2269.096108,9.80E-25,0.042
2271.344996,4.71E-25,0.041
2273.552757,2.22E-25,0.041
2275.719249,1.03E-25,0.04
2277.844326,4.68E-26,0.04
2279.927846,2.09E-26,0.04
2281.969664,9.16E-27,0.039
2283.969636,3.94E-27,0.039
2285.927619,1.67E-27,0.038
2287.843469,6.90E-28,0.038
2289.717042,2.81E-28,0.038
2291.548195,1.12E-28,0.037
2293.336784,4.42E-29,0.037
2295.082667,1.70E-29,0.037
2296.785698,6.45E-30,0.036
2298.445736,2.40E-30,0.036
2300.062637,8.77E-31,0.036
2301.636256,3.15E-31,0.035
2303.166452,1.11E-31,0.035
