2260.625982,1.45E-25,0.088,0.74,-0.003006,3706.6156,59,61
2260.626376,1.86E-30,0.065,0.66,-0.004216,3788.2083,157,157
2260.628466,1.01E-29,0.071,0.73,-0.002317,3125.0825,109,107
2260.643597,6.32E-29,0.114,0.68,-0.002242,4954.8564,11,13
2260.648824,2.87E-28,0.109,0.68,-0.002382,4712.0867,17,19
2260.651744,1.35E-29,0.109,0.68,-0.001809,5246.5827,19,17
2260.652826,1.61E-26,0.096,0.71,-0.002771,4080.0142,41,43
2260.662124,1.30E-29,0.108,0.68,-0.002424,5517.7122,19,21
2260.664297,9.46E-28,0.107,0.68,-0.002463,4519.0127,21,23
2260.672818,6.48E-30,0.088,0.74,-0.00307,5167.2194,61,61
2260.678481,7.10E-30,0.112,0.68,-0.001668,5362.4728,15,13
2260.692878,4.39E-30,0.088,0.74,-0.002099,4304.7152,63,61
2260.702323,1.66E-25,0.085,0.74,-0.003126,3707.6735,67,69
2260.708979,2.03E-30,0.114,0.68,-0.002242,5806.8466,11,13
2260.716539,1.54E-25,0.083,0.74,-0.003226,3730.9189,73,75
2260.718258,1.80E-30,0.097,0.71,-0.002745,6177.9228,39,41
2260.719646,6.48E-30,0.108,0.68,-0.002424,5675.3344,19,21
2260.7285,1.43E-30,0.104,0.68,-0.002093,5891.9207,27,25
2260.729689,8.21E-30,0.077,0.74,-0.003552,3395.689,91,91
2260.731123,9.21E-29,0.097,0.71,-0.002657,4845.0873,41,41
2260.739987,2.38E-30,0.078,0.75,-0.003496,5302.5957,87,87
2260.740933,1.15E-30,0.067,0.7,-0.002938,5010.086,129,131
2260.74184,5.72E-27,0.099,0.7,-0.00269,4256.6154,35,37
2260.74513,4.30E-30,0.105,0.68,-0.002022,5631.9829,25,23
2260.774685,1.19E-29,0.102,0.69,-0.002233,5432.0622,31,29
2260.778707,9.63E-24,0.067,0.7,-0.004329,3012.843,129,131
2260.787242,5.51E-30,0.079,0.75,-0.003467,3502.2548,85,85
2260.788973,8.63E-25,0.076,0.74,-0.003581,3431.7427,91,93
2260.797641,1.45E-28,0.093,0.72,-0.002873,5229.024,49,51
2260.797683,3.74E-24,0.071,0.73,-0.003928,3167.3716,107,109
2260.81394,4.92E-29,0.09,0.73,-0.001996,3638.1407,57,55
2260.82647,3.62E-29,0.07,0.72,-0.002299,3969.6834,117,115
2260.832643,7.51E-30,0.089,0.73,-0.003032,5143.6234,59,59
2260.8341,2.91E-30,0.097,0.71,-0.002745,6076.6868,39,41
2260.841139,2.64E-27,0.088,0.74,-0.003006,4676.9137,59,61
2260.848111,1.05E-28,0.098,0.7,-0.002611,4829.2863,39,39
2260.869772,1.08E-30,0.098,0.7,-0.002611,5775.8091,39,39
2260.877382,2.99E-28,0.095,0.72,-0.002822,5067.8529,45,47
2260.897187,6.47E-30,0.118,0.69,-0.002136,5337.4198,7,9
2260.912834,2.76E-30,0.069,0.72,-0.002809,4769.2089,119,121
2260.916371,3.13E-27,0.08,0.75,-0.002181,3854.3207,81,83
2260.922618,8.69E-27,0.077,0.74,-0.003538,4515.5147,89,91
2260.932705,5.93E-28,0.103,0.68,-0.00257,4673.2951,27,29
2260.935401,3.18E-30,0.107,0.68,-0.001951,5687.9344,23,21
2260.940357,6.09E-24,0.066,0.69,-0.004405,3114.115,135,137
2260.943313,2.65E-30,0.1,0.7,-0.003536,5010.085,33,35
2260.943739,4.97E-25,0.077,0.74,-0.003496,3535.4293,87,89
2260.951842,3.84E-30,0.103,0.68,-0.002163,5709.7933,29,27
2260.959295,1.19E-28,0.099,0.7,-0.002564,4814.2749,37,37
2260.981127,1.22E-30,0.099,0.7,-0.002564,5760.9605,37,37
2260.982847,2.87E-30,0.079,0.75,-0.003467,5268.756,85,85
2260.987106,1.00E-30,0.088,0.74,-0.001955,4977.7714,61,63
2260.987313,8.69E-30,0.09,0.73,-0.002994,5120.8129,57,57
2260.99748,6.90E-30,0.103,0.68,-0.002163,5551.5237,29,27
2261.000553,8.29E-28,0.116,0.69,-0.001545,1944.1924,9,11
2261.012175,5.13E-26,0.086,0.74,-0.003095,3938.5389,65,67
2261.02627,5.67E-30,0.114,0.68,-0.002242,5547.6709,11,13
2261.028752,4.14E-30,0.116,0.69,-0.001527,5445.0253,11,9
2261.046436,3.21E-29,0.088,0.74,-0.003006,5673.7656,59,61
2261.054686,3.73E-28,0.111,0.68,-0.00163,2699.1908,15,17
2261.058347,9.23E-27,0.101,0.69,-0.002633,4116.9603,31,33
2261.064666,1.35E-28,0.1,0.7,-0.002516,4800.0532,35,35
2261.073572,1.03E-30,0.098,0.7,-0.002504,6036.856,39,37
2261.080405,8.83E-27,0.095,0.72,-0.002822,4223.9443,45,47
2261.080907,2.17E-26,0.092,0.73,-0.002899,4067.5985,51,53
2261.086626,1.38E-30,0.1,0.7,-0.002516,5746.893,35,35
2261.091689,1.51E-30,0.096,0.71,-0.002634,5931.9752,43,41
2261.105135,3.09E-30,0.1,0.7,-0.00237,5790.6376,35,33
2261.131499,1.02E-24,0.079,0.75,-0.003415,3381.1557,83,85
2261.13681,1.00E-29,0.091,0.73,-0.002955,5098.7881,55,55
2261.149674,6.47E-30,0.08,0.75,-0.003407,3437.4694,81,81
2261.16422,1.53E-28,0.101,0.69,-0.002467,4786.6212,33,33
2261.176865,4.58E-30,0.077,0.74,-0.002272,4598.3294,87,89
2261.18627,1.56E-30,0.101,0.69,-0.002467,5733.6067,33,33
2261.186561,1.90E-28,0.101,0.69,-0.002633,5077.0283,31,33
2261.193756,2.45E-30,0.12,0.7,-0.001388,5477.8983,7,5
2261.197144,3.04E-30,0.065,0.67,-0.004187,3667.6714,153,153
2261.201862,3.43E-27,0.097,0.71,-0.002745,4389.2982,39,41
2261.212872,1.53E-25,0.067,0.7,-0.004329,4007.5323,129,131
2261.214979,6.20E-26,0.071,0.73,-0.003928,4153.9737,107,109
2261.219018,7.56E-25,0.075,0.74,-0.003667,3467.2598,95,97
2261.220129,3.45E-30,0.08,0.75,-0.003437,5235.701,83,83
2261.23193,2.10E-26,0.094,0.72,-0.002847,4057.372,47,49
2261.234032,4.56E-26,0.08,0.75,-0.002181,2604.8903,81,83
2261.25795,1.73E-28,0.102,0.69,-0.002417,4773.9791,31,31
2261.263536,2.53E-29,0.118,0.69,-0.002136,4897.9228,7,9
2261.278041,1.54E-27,0.087,0.74,-0.003064,4799.5479,63,65
2261.280057,1.77E-30,0.102,0.69,-0.002417,5721.1016,31,31
2261.281115,1.15E-29,0.092,0.73,-0.002915,5077.549,53,53
2261.28465,1.31E-28,0.114,0.68,-0.002242,4574.1442,11,13
2261.284947,4.00E-27,0.098,0.7,-0.002718,4346.1496,37,39
2261.284999,5.65E-27,0.092,0.73,-0.002899,4337.7203,51,53
